,GPP,LAI
0,2.7992966391786935,2.124993757357735
1,3.3113268433195198,2.4884034580683174
2,3.3144680280599403,2.094031084280892
3,3.701032716176008,3.763566101643477
4,3.3222774213172563,2.3319881881955733
5,2.462320158673339,1.3376384135681654
6,3.6316628751112248,3.6233172552870423
7,3.6391917153740394,2.453878223729582
8,3.8516719025101147,2.4862213125487305
9,2.4712676560499593,1.508134089810886
10,3.613231949343358,3.280513027181391
11,2.867243736545384,2.052720982171377
12,3.3500972192004745,2.613770162158849
13,2.715249652572659,1.8453181794659113
14,2.3130324914355636,1.3711023414824046
15,3.0698328419766,2.2845423898796597
16,3.2088530686781587,2.713497161497566
17,3.1535263506699645,2.142089391765829
18,1.5059805556588677,0.7650557810210282
19,2.7921810861474934,2.1426105248048657
20,3.8029346403855575,2.9140740790249593
21,3.6367592133813735,2.5286949993903836
22,2.6175946996165513,1.5557080786295947
23,1.801500880173885,1.188337143935468
24,3.155970079266461,2.554813224163082
25,2.967889505704061,1.9900885461211193
26,2.2845586626325796,1.2818239286756792
27,2.4717651097489615,1.9047820465868395
28,4.072706602259904,3.7656893422215707
29,3.7236701785222603,4.159243015854891
30,3.064794928304688,2.29892077924696
31,1.3278624351778046,0.8901197187395188
32,2.4148918311342795,1.8316957540887548
33,2.4693174081306237,1.801029956328548
34,2.956362948815394,1.9617374019600273
35,3.140466692376861,2.0686060187840547
36,3.1770261314686596,2.7272685676462767
37,4.01599871712683,3.0127438020350206
38,2.8686421344309125,2.4959135393098886
39,2.9005608105472724,3.025584623395051
40,3.4723728277031105,3.506728442818752
41,4.115685146728937,2.458113221118945
42,3.53707310960842,2.784840946287743
43,2.7107330457984675,2.4258430148913877
44,1.8131396741845633,1.0425685909013789
45,3.8606918769583314,2.4367215034773952
46,2.8801761185851866,2.674465341729427
47,3.252040483723415,3.064849940858717
48,3.448152092583263,2.6589629151433867
49,3.4562872364965656,2.479960077195246
50,3.017329833072232,2.5146590846949737
51,3.268979503953206,2.558438620432996
52,4.09105365018327,3.2881881547666962
53,2.5921617266475763,1.7586120351413543
54,2.758866241288879,2.404919690761661
55,1.963519134050232,1.4292971478886627
56,2.6796557080807877,1.8549403633967996
57,3.7754071255369763,3.404640541410622
58,3.647243663581241,3.91138080330259
59,3.2402729635063983,2.5945328906465357
60,3.1627987536190783,2.4638924044531354
61,2.9890457747222436,2.9710767575601933
62,4.008361439167948,4.324074841087246
63,3.0606752676438855,2.109177619993996
64,4.171860336097077,2.544731653978219
65,2.222727735464568,1.6755658483970457
66,2.1980798551396212,1.439380708364522
67,0.9007415766869586,0.4843818829848834
68,3.564171271533092,3.4134242810109345
69,2.578363254216539,1.7252283664697414
70,2.1606532720860647,1.0331742883043133
71,2.206064046469268,1.4172570423327293
72,2.844035465790592,1.8230066230371065
73,2.983416212223266,2.0700474285742576
74,2.0979693847340273,1.381995478247159
75,3.039939601873611,2.196359772047294
76,4.1151410676599935,3.1092832967333295
77,2.5773118230715224,1.73033840735725
78,3.5066226687688298,2.917843426074841
79,4.123436947068952,3.536733150556283
80,3.5560463888622786,3.5133406719782427
81,3.8931743952457456,3.2815325613619097
82,2.693196582592888,2.1891628781345216
83,1.7138748610277161,1.1372461553343576
84,2.5967411488673977,1.959937530403341
85,3.365191031002529,3.29714942756517
86,2.326361918778993,1.7856861105801984
87,2.5954164058196993,2.064418013222681
88,2.7773681197045423,2.172161309461304
89,2.8582245097463463,2.2765922544490382
90,2.928768850166696,2.2834532770329914
91,3.1018858660172883,1.9922082771653695
92,3.5436634925062886,3.2520185819879126
93,2.7291532707270068,1.7181951409518226
94,2.0775193200954023,1.420473988786999
95,2.0110992227695,1.915750243382807
96,2.7267821257338514,2.1026936461563763
97,2.443100469485958,1.8954142634673081
98,3.5172872777180637,2.585931955859255
99,1.6007475220762841,1.0486552723454252
100,3.1475158953888114,2.391966286459113
101,2.96675603879451,2.5987764868574286
102,2.185330820705777,1.4061697118025327
103,3.738288018264412,2.338115795614003
104,3.849919438890679,3.522614404845826
105,3.200366306074808,2.5059113460475038
106,2.2685423607325084,1.6774499411322366
107,1.7821234035442837,1.350652864994759
108,3.9679786898766927,3.97177096904809
109,3.117238561793693,3.123896538449301
110,2.7627401366625577,2.238352894744786
111,2.595558024524577,2.448348876513311
112,2.1331343119392847,1.4697240334928017
113,3.0004321046945504,2.6978679134705423
114,3.4782179359877845,2.2394078303610905
115,2.2070880342019716,1.9606715385593578
116,2.7981793039788934,1.9126471578531385
117,3.9015764314472214,4.318524424594546
118,3.3690300337629293,2.6335364700702715
119,3.564671037656118,3.1309753449218003
120,2.833529056377472,1.8892578733006071
121,3.5399471789909396,2.906476994665386
122,1.9353640034024742,1.2883437852042978
123,3.4061828597334705,3.4282098938559638
124,3.631333809945375,2.7799720984832903
125,3.007789307041215,2.293985165558592
126,2.8219120308508416,2.0433319595083534
127,3.151202062740332,2.2208440687781814
128,2.582387982756843,1.799477303674493
129,3.6789432644788507,3.057101045009355
130,2.9525693735015177,1.8979214212614586
131,3.1616236131640303,2.7753126762254925
